full_ID,ID,site,sex,mass,notes,death_date
MS_A1_F_21,21,A1,F,0.5558,,
MS_A1_F_22,22,A1,F,0.3954,,
MS_A1_F_23,23,A1,F,0.5387,,
MS_A1_F_24,24,A1,F,0.4983,,
MS_A1_F_25,25,A1,F,0.5142,,
MS_A1_F_26,26,A1,F,0.3953,,
MS_A1_F_27,27,A1,F,0.5102,mrhl,
MS_A1_F_28,28,A1,F,0.3011,,
MS_A1_F_29,29,A1,F,0.2,,
MS_A1_F_30,30,A1,F,0.5006,,
MS_A1_F_31,31,A1,F,,,
MS_A1_F_32,32,A1,F,0.4338,,
MS_A1_F_33,33,A1,F,0.3611,,
