sample_num,wg_drymass (mg),feces_drymass (mg),discolored (Y/N),wg_mold (Y/N/1-4),feces_mold (Y/N/1-4),general_notes,wg_notes,feces_notes,"Instructions: start with only the ones that are separately packed wg and feces (that don't say ""both"")"
WG_12,125.29,,,,,,,,
WG_14,128.64,,,,,,,,
WG_15,128.78,,,,,,,,
WG_16,126,,,,,,,,
WG_17,133.61,,,,,,,,
WG_18,127.34,,,,,,,,
WG_19,130.08,,,,,,,,
WG_20,135.38,,,,,,,,
WG_21,134.41,,,,,,,,
WG_22,131.37,,,,,,,,
WG_23,133.67,,,,,,,,
WG_24,134.49,,,,,,,,
WG_25,141.61,,,,,,,,
WG_26,120.66,,,,,,,,
WG_27,113.79,,,,note says 4/20 but probably an old label,,,,
WG_28,116.82,,,,,,,,
WG_30,117.48,,,,,,,,
WG_31,117.2,,,,,,,,
WG_32,125.4,,,,,,,,
WG_33,128.05,,,,,,,,
WG_34,130.02,,,,,,,,
WG_35,128.55,,,,,,,,
WG_36,134.16,,,,,,,,
WG_37,129.78,,,,,,,,
WG_38,132.78,,,,,,,,
WG_39,139.85,,,,,,,,
WG_40,141.57,,,,,,,,
WG_41,137.19,,,,,,,,
WG_42,133.97,,,,,,,,
WG_43,140.57,,,,,,,,
WG_44,136.89,,,,,,,,
WG_45,133.25,,,,,,,,
WG_46,141.18,,,,,,,,
WG_47,132.88,,,,,,,,
WG_48,132.72,,,,,,,,
WG_49,138.16,,,,,,,,
WG_50,136.91,,,,,,,,
WG_51,136.26,,,,,,,,
WG_52,135.69,,,,,,,,
WG_53,124.89,,,,,,,,
WG_54,132.54,,,,,,,,
WG_55,127.56,,,,,,,,
WG_56,137.48,,,,,"small seed attached, perhaps discount",,,
WG_57,128.74,,,,,,,,
WG_58,140.94,,,,,,,,
WG_60,165.3,,,,,,,,
WG_62,141.62,,,,,,,,
WG_65,170.93,,,,,,,,
WG_67,133.49,,,,,,,,
WG_68,132.52,,,,,,,,
WG_70,137.25,,,,,,,,
WG_71,139,,,,,,,,
WG_72,135,,,,,,,,
WG_73,136.29,,,,,,,,
496,130.29,,,,,no feces,,,
126,119.29,1.04,,,,,,,
160,128.51,3.56,,,,,,,
592,126.64,,,,,wg only,,,
488,124.01,,,,,wg only,,,
514,135.59,,,,,wg only,,,
465,136.37,,,,,wg only,or 135.82... one but was placed in that I think fell out this time around,,
480,124.46,,,,,wg only,,,
626,,6.56,,,,feces -- maybe what happened is tiny bits were with the wheatgrass and I didn't know there was extra,,,
475,,1.25,,,,feces -- maybe what happened is tiny bits were with the wheatgrass and I didn't know there was extra,,,
711,,18.3,,,,feces -- maybe what happened is tiny bits were with the wheatgrass and I didn't know there was extra,,,
574,,15.79,,,,feces -- maybe what happened is tiny bits were with the wheatgrass and I didn't know there was extra,,,
659,0.05,2.5,,,,"feces -- maybe what happened is tiny bits were with the wheatgrass and I didn't know there was extra, found a little extra wheatgrass",,,
404,98.4,15.58,Y,,,,,,
521,104.25,4.14,,,,,,,
282,107.18,9.63,,,,,,,
505,129.66,0.12,,,,only a tiny bit of feces,,,
486,108.59,2.24,,,,,,,
449,115.21,3.24,,,,,,,
343,113.83,10.39,,,,,,,
656,109.44,2.22,,,,,,,
431,137.93,,,,,wg only it seems,,,
142,120.84,,,,,"tub contained seeds (?), small amount of feces may have been present on seeds, not packaged, borderline discolored",,,
