sample_num,wg_drymass (mg),feces_drymass (mg),discolored (Y/N),wg_mold (Y/N/1-4),feces_mold (Y/N/1-4),general_notes,wg_notes,feces_notes,"Instructions: start with only the ones that are separately packed wg and feces (that don't say ""both"")"
392,117.08,8.59,,,,,,,
526,115.76,6.35,,,,,,,
506,117.13,6.91,,,,,,,
569,116.15,2.81,,,,,,,
347,108.13,8.49,,,,,,,
552,117.36,2.97,,,,,,,
356,111.83,6.29,,,,,,,
421,110.28,20.47,,,,,,,
600,107.39,2.63,Y,,,,,,
559,78.9,20.2,,,,,,,
709,87.61,8.96,Y,,,,,,
502,118.92,6.12,,,,,,,
395,106.45,12.35,,,,,,,
626,83.96,0.38,Y,,,dropped 1 small poop ... possibly *10/9,,,
574,81.19,0.71,,,,,,,
471,138.19,2.22,Y,2,,both,,,
570,99.15,10.11,,,,,,,
unknownA,80.91,3.44,Y,,,"both, prob 2nd 43 or 23",,,
unknownB,43.8,28.79,Y,,,"both, prob 2nd 43 or 23",,,
637,99.68,3.12,Y,,,,,,
657,100.09,10.41,Y,,,,,,
623,109.73,2.22,,,,,,,
684,62.25,15.33,Y,,,,,,
310,111.41,8.62,,,,,,,
573,111.7,9.67,,,,,,,
346,107.15,13.98,,,,,,,
617,52.5,14.18,Y,,,,,,
567,105.42,5.44,,,,,,,
348,98.73,15.07,,,,,,,
470,127.58,1.14,,,,,,,
464,131.49,0.58,,,,,,,
694,111.18,7.91,Y,,,,,,
303,104.43,13.92,,,,,,,
305,116.39,5.63,,,,,,,
658,68.64,4.52,Y,,,,,,
669,82.11,6.91,Y,,,,,,
402,131.5,6.18,,,,,,,
523,99.74,2.71,,,,,,,
711,77.69,0.25,Y,,,,,,
321,110.5,11.4,,,,,,,
589,105.08,4.57,,,,,,,
558,103.18,10.48,,,,,,,
597,108.3,11.41,,,,,,,
516,121.65,1.61,,,,,,,
448,129.76,0.51,,,,,,,
324,131.67,5.83,,,,,,,
576,91.66,13.18,,,,,,,
351,137.35,0.13,,,,,,,
641,62.79,15.81,Y,,,,,,
651,103.43,0.76,Y,,,,,,
368,120.33,7.77,,,,,,,
302,138.27,2.64,,,,,,,
355,109.88,11.13,,,,,,,
716,103.51,0.94,,,,,,,
595,111.52,2.56,,,,,,,
628,82.42,1.81,,,,,,,
705,107.07,10.34,,,,,,,
323,117.92,9.64,,,,,,,
599,106.74,4.24,,,,,,,
391,120.59,9.41,,,,,,,
445,123.54,2.62,,,,,,,
370,100.26,9.19,,,,,,,
676,110.95,2.72,,,,,,,
631,63.56,10.11,Y,,,,,,
662,83.9,5.27,Y,,,,,,
340,101.57,10.65,,,,,,,
673,68.93,21.49,Y,,,,,,
675,78.19,2.59,Y,,,,,,
306,95.61,17.02,Y,,,,,,
547,111.14,6.59,,,,,,,
322,123.39,4.32,,,,,,,
571,97.64,8.48,,,,,,,
483,126.36,0.26,,,,,,,
622,55.55,2.74,Y,,,"wrinkled, hard to distinguish",,,
550,115.21,3.21,,,,(not marked but seems like Y/borderline),,,
466,137.21,0.61,,,,,,,
525,103.99,5.9,,,,,,,
424,115.77,10.43,,,,,,,
354,109.93,8.45,,,,,,,
598,112.45,3.29,,,,,,,
426,121.27,8.86,,,,,,,
668,77.22,13.13,Y,,,,,,
326,118.78,14.05,,,,,,,
unlabeled 9/29,81.12,17.53,,,,,,,
702,88.01,16.78,,,,,,,
389,113.63,4.23,,,,,,,
456,116.83,2.57,,,,,,,
436,136.52,6.11,,,,,,,
556,117.91,3.09,,,,,,,
544,97.03,2.55,,,,,,,
74,120.37,5.23,N,,,,,,
41,109.56,12.36,N,,,,,,
61,133.11,4.82,N,,,,,,
32,127.24,3.54,N,,,,,,
34,146.87,0.94,N,,,,,,
81,114.58,9.37,N,,,,,,
96,136.71,4.74,N,,,,,,
226,141.67,1.83,N,,,,,,
166,102.99,13.61,N,,,,,,
169,120.73,6.47,N,,,,,,
199,121.41,7.22,N,,,,,,
118,117.7,envelope says no feces,N,,,,,,
108,113.51,0.48,N,,,envelope says 'contains half eaten leg?',,,
172,147.16,0.91,N,,,,,,
201,142.84,0.13,N,,,,,,
106,116.39,0.02,N,,,,,,
127,122.04,0.22,N,,,,,,
111,113.6,envelope says no feces,N,,,,,,
147,131.41,0.38,N,,,,,,
