Order,wg_ID,test_date,wet_weigh_date,wet_mass,plot_ID,plot_purchase_date,,
,156,,,1.0205,E,,,
,157,,,1.0295,E,,,
,158,,,1.0072,E,,ctrlF,37
,159,,,1.015,E,a lirrlw unsuer,,
,WG_40,,,1.0437,E,,,
,160,,,1.0109,E,,,
,161,,,1.0189,E,,ctrlC,16
,162,,,0.9979,E,,,
,163,,,1.0239,E,,,
,164,,,1.0347,E,,,
,165,,,1.0251,E,,,
,WG_41,,,1.0249,E,,,
,167,,,1.0094,E,,ctrlE,37
,168,,,1.0262,E,,,
,166,,,1.0184,F,tiny bit of E,,
,169,,,1.0243,F,,,
,170,,,1.0013,F,,,
,171,,,1.0097,F,,,
,172,,7/19/2023,1.0265,F,,,
,173,,,1.0225,F,,,
,WG_42,,,1.0144,F,,,
,174,,,1.0124,F,,,
,175,,,1.0208,F,,,
,176,,,1.0296,F,,ctrlD,16
,177,,,0.924,F,,,
,WG_43,,,1.0318,F,,,
,178,,,1.0225,F,,,
,179,,,1.0265,F,,,
,180,,,1.0157,F,,,
,181,,,0.9915,F,,,
,WG_44,,,0.9933,F,,,
,182,,7/19/2023,1.0017,F,,,
,183,,,1.0303,F,,,
,184,,,1.0197,F,,,
,185,,,1.007,F,,,
,WG_45,,,1.0067,F,,,
,186,,,1.0282,F,,,
,WG_48,,,1.0231,F,,,
,WG_47,,,1.0052,F,,,
,WG_46,,,1.023,F,,,
,187,,7/19/2023,0.9953,F,,,
,188,,,1.0301,F,new day ,,
,189,,,1.0081,F,,,
,190,,,1.0318,F,,,
,191,,,1.0116,F,,,
,192,,,1.0207,F,,,
,WG_49,,,1.0073,F,,,
,193,,,1.0186,F,,,
,194,,,1.0127,F,,,
,WG_50,,,1.0441,F,,,
,195,,,1.0334,F,,,
,196,,,1.0245,F,unsure,,
,197,,,1.0295,F,unsure,,
,198,,,1.0111,G,,,
,199,,,1,G,,,
,200,,,1.003,G,,,
,201,,,1.0113,G,,,
,202,,,0.9956,G,,,
,203,,,1.0195,G,,,
,WG_51,,,1.0212,G,,,
,204,,,1.0048,G,,,
,205,,,1.0103,G,,,
,206,,,1.0224,G,,,
,WG_52,,,1.0427,G,,,
,207,,,1.034,G,,,
,208,,,1.0239,G,,,
,209,,,1.0148,G,,,
,210,,,1.0111,G,,,
,WG_53,,,0.9911,G,,,
,211,,,1.0012,G,,,
,212,,,1.0061,G,,,
,213,,,1.0311,G,,,
,WG_54,,,1.036,G,,,
,214,,,1.0095,G,,,
,WG_55,,,0.9794,G,,,
,215,,,0.9943,G,,,
,216,,,1.0167,G,,,
,217,,,1.0286,G,,,
,218,,,1.0062,G,,ctrlH,43
,219,,,1.0027,G,,,
,220,,,0.9965,G,,,
,222,,,1.0228,G,,,
,221,,,1.0011,G,,,
,223,,,1.0217,G,,,
,224,,,0.9973,G,,,
,225,,,0.9999,G,,,
,226,,,1.0303,G,,,
,WG_56,,,0.9828,G,,,
,227,,,1.0059,G,,,
,228,,,1.0139,G,,,
,229,,,1,G,,,
,230,,,0.9998,G,,,
,231,,,1.0258,G,,,
,232,,,1.0047,G,,,
,233,,,1.0116,H,,,
,234,,,1.0079,H,,,
,235,,,1.0107,H,,,
,236,,,1.0161,H,,,
,237,,,1.0258,H,,,
,238,,,1.0112,H,,,
,239,,,1.009,H,,,
,240,,,1.0043,H,,,
,242,,,1.0107,H,,,
,241,,,0.9988,H,,,
,243,,,1.0079,H,,ctrlI,23
,244,,,1.0123,H,,,
,245,,,1.0009,H,,,
,246,,,1.0133,H,,,
