Order,wg_ID,test_date,wet_weigh_date,wet_mass,plot_ID,plot_purchase_date,,,,,old_plot_ID
,446,,,1.0142,N,,,,,,
,447,,,1.02,N,,,,,,
,448,,,1.0163,N,,,,,,
,WG_117,,,1.0251,N,,,,,,
,449,,,1.0134,N,,,,,,
,450,,,1.0209,N,,,,,,
,451,,,1.0145,N,,,,,,
,452,,,1.0176,N,,,,,,
,453,,,1.0086,N,,,,,,
,454,,,1.0005,N,,,,,,
,455,,,1.0176,N,,,,,,
,456,,,1.0232,N,,,,,,
,WG_118,,,1.0109,N,,,,,,
,457,,,0.9973,N,,,,,,
,458,,,1.0096,N,,,,,,
,459,,,1.0304,N,,,,,,
,460,,,0.995,N,,,,,,
,461,,,1.0213,N,,,,,,
,462,,,1.0355,N,,,,,,
,463,,,1.0223,N,,,,,,
,464,,,1.0078,N,,,,,,
,WG_119,,,1.0196,N,,,,,,
,465,,,1.0021,N,,,,,,
,466,,,1.0358,N,,,,,,
,467,,,1.0323,N,,,,,,
,468,,,1.0157,N,,,,,,
,469,,,1.0047,N,,,,,,
,470,,,1.0162,N,,,,,,
,471,,,0.986,N,,,,,,
,472,,,1.0085,N,,,,,,
,WG_120,,,0.9828,N,,,,,,
,473,,,0.9972,N,,,,,,lost a fleck
,474,,,1.0297,N,,,,,,
,475,,,1.0134,N,,,,,,
,476,,,1.0124,N,,,,,,
,477,,,1.003,N,,,,,,
,478,,,1.0017,N,,,,,,
,479,,,1.0013,N,,,,,,
,480,,,1.0242,O,,,,,,"half E, half F"
,WG_121,,,1.0088,O,,,,,,F
,481,,,0.9982,O,,,,,,
,482,,,0.987,O,,,,,,
,483,,,0.9832,O,,,,,,
,484,,,0.998,O,,,,,,
,485,,,0.9869,O,,,,,,
,486,,,0.9936,O,,,,,,
,487,,,0.9822,O,,,,,,
,488,,,0.9966,O,,,,,,
,WG_122,,,1.0172,O,,,,,,
,489,,,1.02,O,,,,,,
,490,,,0.9988,O,,,,,,
,491,,,1.0214,O,,,,,,
,492,,,1.0088,O,,,,,,
,493,,,1.0162,O,,,,,,
,494,,,1.0087,O,,,,,,
,495,,,0.9918,O,,,,,,
,496,,,1.0111,O,,,,,,
,WG_123,,,1.0347,O,,,,,,
,497,,,1.0192,O,,,,,,
,498,,,1.018,O,,,,,,
,500,,,1.0128,O,,,,,,
,501,,,1.0125,O,,,,,,
,502,,,1.0216,O,,,,,,
,503,,,0.9858,O,,,,,,
,504,,,1.0008,O,,,,,,
,505,,,1.0101,O,,,,,,
,506,,,1.0319,O,,,,,,
,499,,,1.0197,O,,,,,,
,WG_124,,,0.9778,O,,,,,,
,507,,,1.0299,O,,,,,,
,508,,,1.0012,O,,,,,,
,509,,,1.0315,O,,,,,,
,510,,,1.0077,O,,,,,,
,511,,,1.0176,O,,,,,,
,512,,,1.0022,O,,,,,,
,513,,,1.0281,O,,,,,,
,514,,,0.9891,O,,,,,,
,515,,,0.9854,O,,,,,,
,516,,,1.013,O,,,,,,
,517,,,1.0328,O,,,,,,
,518,,,1.0027,O,,,,,,
,WG_125,,,0.9707,O,,,,,,
,519,,,0.9853,O,,,,,,
,520,,,1.0033,O,,,,,,
,521,,,0.992,O,,,,,,
,522,,,1.0249,O,,,,,,
,523,,,0.9907,O,,,,,,
,524,,,1.0207,O,,,,,,
,525,,,1.0026,O,,,,,,
,526,,,1.0262,O,,,,,,
,WG_126,,,1.0042,O,,,,,,
,527,,,0.9814,O,,,,,,
,528,,,1.0217,O,,,,,,
,529,,,1.0212,O,,,,,,
,530,,,1.0147,O,,,,,,
,531,,,1.0051,O,,,,,,
,532,,,0.9955,O,,,,,,
,533,,,1.0248,O,,,,,,
,534,,,1.0291,O,,,,,,
,WG_127,,,1.017,O,,,,,,seems correct
,535,,,0.997,O,,,,,,ctrl
,536,,,1.0269,O,,,,,,ctrl
,537,,,0.9953,O,,,,,,ctrl
,538,,,1.0082,O,,,,,,correct
,539,,,unknown,O,,,,,,
,540,,,0.9856,O,,,,,,correct
,541,,,1.0118,O,,,,,,
,542,,,1.0308,O,,,,,,
,WG_128,,,0.9943,O,,,,,,
,543,,,1.004,O,,,,,,
,544,,,1.0198,O,,,,,,
,545,,,1.0078,O,,,,,,
,546,,,1.0162,O,,,,,,
,547,,,0.9809,O,,,,,,
,548,,,0.9856,O,,,,,,
,549,,,0.9946,O,,,,,,
,550,,,0.9998,O,,,,,,
,WG_129,,,1.0051,O,,,,,,
,551,,,1.0241,O,,,,,,
,552,,,1.0249,O,,,,,,
,553,,,1.024,O,,,,,,
,554,,,1.0336,O,,,,,,
,555,,,1.0104,O,,,,,,
,556,,,1.0211,O,,,,,,
,557,,,0.9995,O,,,,,,
,558,,,1.0138,O,,,,,,75/25 old and new
,WG_130,,,0.9822,P,,,,,,
,559,,,0.9911,P,,,,,,
,560,,,1.0201,P,,,,,,
,561,,,1.0034,P,,,,,,
,562,,,1.01,P,,,,,,
,563,,,0.9975,P,,,,,,
,564,,,0.9959,P,,,,,,
,565,,,1.0089,P,,,,,,
,566,,,1.0009,P,,,,,,
,WG_131,,,1.0269,P,,,,,,
,567,,,1.0282,P,,,,,,
,568,,,0.9803,P,,,,,,
,569,,,1.0047,P,,,,,,
,570,,,0.9976,P,,,,,,
,571,,,1.0003,P,,,,,,
,572,,,1.0315,P,,,,,,
,573,,,1.0122,P,,,,,,
,574,,,0.9918,P,,,,,,
,WG_132,,,1.0058,P,,,,,,
,575,,,1.0163,P,,,,,,
,576,,,1.0118,P,,,,,,
,577,,,0.9995,P,,,,,,
,578,,,1.0327,P,,,,,,
,579,,,0.9957,P,,,,,,
,580,,,0.9965,P,,,,,,
,581,,,1.0309,P,,,,,,
,582,,,0.9976,P,,,,,,
,WG_133,,,1.0426,P,,,,,,
,583,,,1.027,P,,,,,,
,584,,,1.01,P,,,,,,
,585,,,1.0175,P,,,,,,
,586,,,1.0206,P,,,,,,
,587,,,1.0014,P,,,,,,
,588,,,0.9871,P,,,,,,
,589,,,1.0301,P,,,,,,
,590,,,1.0174,P,,,,,,
,WG_134,,,1.0071,P,,,,,,
,591,,,1.0311,P,,,,,,
,592,,,1.02,P,,,,,,
,593,,,1.0185,P,,,,,,
,594,,,0.9988,P,,,,,,
,595,,,1.01,P,,,,,,
,596,,,1.0176,P,,,,,,
,597,,,1.03,P,,,,,,
