container,block,sex,treatment,hopper_mass_before,feces_mg_hr,consumption_mg_hr,hopper_mass_after,feces_dry_mass,total_consumption,plant_wet_mass_before,plant_dry_mass_before,plant_dry_mass_after
613,c,m,40,0.479,8,14.4,0.489,0.048,0.0866254,0.861,0.2326254,0.146
613,e,m,40,0.496,10.8,16.6,0.53,0.065,0.0995904,0.836,0.2245904,0.125
615,b,m,40,0.463,6,16.6,0.475,0.036,0.0997328,0.852,0.2297328,0.13
615,d,m,40,0.658,12.2,20.2,0.66,0.073,0.1211958,0.897,0.2441958,0.123
614,c,m,40,0.698,12.5,20.8,0.722,0.075,0.124588,0.92,0.251588,0.127
613,b,m,40,0.526,11.3,23.1,0.51,0.068,0.1388752,0.868,0.2348752,0.096
614,b,m,40,0.659,11.8,29.7,0.691,0.071,0.1784448,0.932,0.2554448,0.077
621,e,m,46,0.601,10.5,-3.2,0.542,0.063,-0.0190182,0.887,0.2409818,0.26
620,e,m,46,0.721,3.3,-3.1,0.674,0.02,-0.01884,0.9,0.24516,0.264
620,d,m,46,0.71,3,-0.9,0.713,0.018,-0.0054462,0.867,0.2345538,0.24
619,e,m,46,0.533,0,-0.6,0.527,0,-0.0033754,0.889,0.2416246,0.245
619,d,m,46,0.498,6.7,4.9,0.471,0.04,0.0293398,0.857,0.2313398,0.202
620,c,m,46,0.729,2.2,9.1,0.669,0.013,0.0543374,0.941,0.2583374,0.204
621,c,m,46,0.943,11,15.5,0.871,0.066,0.093055,0.825,0.221055,0.128
620,b,m,46,0.45,5.3,16.2,0.468,0.032,0.0971958,0.897,0.2441958,0.147
621,b,m,46,0.534,2.2,16.9,0.534,0.013,0.1015864,0.976,0.2695864,0.168
621,d,m,46,0.816,11,17.7,0.787,0.066,0.1060542,0.853,0.2300542,0.124
619,b,m,46,0.405,8.3,25.5,0.47,0.05,0.1530518,0.937,0.2570518,0.104
